DATE;TIME;LOAD
30/1/2017;3;5244.46
30/1/2017;4;5055.46
30/1/2017;5;4942.14
30/1/2017;6;5053.1
30/1/2017;7;5611.15
30/1/2017;8;6568.82
30/1/2017;9;7349.75
30/1/2017;10;8079.32
30/1/2017;11;8419.98
30/1/2017;12;8565.83
30/1/2017;13;8614.98
30/1/2017;14;8494.59
30/1/2017;15;8158.48
30/1/2017;16;8127.83
30/1/2017;17;8008.92
30/1/2017;18;7925.74
30/1/2017;19;8397.53
30/1/2017;20;8529.43
30/1/2017;21;8373.1
30/1/2017;22;7952.71
30/1/2017;23;7315.41
30/1/2017;24;6790.89
31/1/2017;1;6141.94
31/1/2017;2;5600.22
31/1/2017;3;5468.03
31/1/2017;4;5333.43
31/1/2017;5;5249.11
31/1/2017;6;5369.95
31/1/2017;7;5870.33
31/1/2017;8;6778.51
31/1/2017;9;7552.94
31/1/2017;10;8113.21
31/1/2017;11;8247.36
31/1/2017;12;8257.57
31/1/2017;13;8244.11
31/1/2017;14;8225.41
31/1/2017;15;7927.64
31/1/2017;16;8034.28
31/1/2017;17;8009.53
31/1/2017;18;8090.37
31/1/2017;19;8543.12
31/1/2017;20;8660.11
31/1/2017;21;8464.7
31/1/2017;22;8013.29
31/1/2017;23;7310.08
31/1/2017;24;6777.75
1/2/2017;1;5910.75
1/2/2017;2;5385.63
1/2/2017;3;5345.45
1/2/2017;4;5188.23
1/2/2017;5;5074.61
1/2/2017;6;5173.48
1/2/2017;7;5666.68
1/2/2017;8;6559.48
1/2/2017;9;7083.22
1/2/2017;10;7683.54
1/2/2017;11;7886.79
1/2/2017;12;7979.38
1/2/2017;13;8011.47
1/2/2017;14;7941.79
1/2/2017;15;7690.31
1/2/2017;16;7757.81
1/2/2017;17;7693.41
1/2/2017;18;7706.14
1/2/2017;19;8274.93
1/2/2017;20;8413.08
1/2/2017;21;8288.88
1/2/2017;22;7800.2
1/2/2017;23;7071.76
1/2/2017;24;6523.99
2/2/2017;1;6001.47
2/2/2017;2;5484.85
2/2/2017;3;5426.11
2/2/2017;4;5235.19
2/2/2017;5;5143.86
2/2/2017;6;5242.33
2/2/2017;7;5749.58
2/2/2017;8;6718.99
2/2/2017;9;7257.06
2/2/2017;10;7685.56
2/2/2017;11;7865.72
2/2/2017;12;7868.49
2/2/2017;13;7836.99
2/2/2017;14;7686.36
2/2/2017;15;7399.88
2/2/2017;16;7487.67
2/2/2017;17;7479.28
2/2/2017;18;7653.58
2/2/2017;19;8278.73
2/2/2017;20;8452.58
2/2/2017;21;8364.35
2/2/2017;22;7816.02
2/2/2017;23;7113.54
2/2/2017;24;6538.78
3/2/2017;1;5854.2
3/2/2017;2;5336.44
3/2/2017;3;5315.02
3/2/2017;4;5133.77
3/2/2017;5;5020
3/2/2017;6;5124.29
3/2/2017;7;5575.83
3/2/2017;8;6481.72
3/2/2017;9;6957.77
3/2/2017;10;7476.7
3/2/2017;11;7594.05
3/2/2017;12;7608.81
3/2/2017;13;7592.14
3/2/2017;14;7500.32
3/2/2017;15;7243.67
3/2/2017;16;7377.58
3/2/2017;17;7332.1
3/2/2017;18;7409.95
3/2/2017;19;8154.58
3/2/2017;20;8295.07
3/2/2017;21;8050.78
3/2/2017;22;7524.38
3/2/2017;23;6887.43
3/2/2017;24;6424.49
4/2/2017;1;5762.5
4/2/2017;2;5272.74
4/2/2017;3;5225.46
4/2/2017;4;4982.14
4/2/2017;5;4854.46
4/2/2017;6;4855.72
4/2/2017;7;5039.72
4/2/2017;8;5365.35
4/2/2017;9;5905.74
4/2/2017;10;6424.75
4/2/2017;11;6633.06
4/2/2017;12;6690.34
4/2/2017;13;6709.67
4/2/2017;14;6635.62
4/2/2017;15;6325.71
4/2/2017;16;6445.31
4/2/2017;17;6461.33
4/2/2017;18;6573.37
4/2/2017;19;7309.45
4/2/2017;20;7460.72
4/2/2017;21;7228.56
4/2/2017;22;6794.22
4/2/2017;23;6299.46
4/2/2017;24;5927.2
5/2/2017;1;5450.12
5/2/2017;2;4994.72
5/2/2017;3;4943.43
5/2/2017;4;4810.69
5/2/2017;5;4648.05
5/2/2017;6;4617.18
5/2/2017;7;4709.21
5/2/2017;8;4818.45
5/2/2017;9;5147.29
5/2/2017;10;5601.31
5/2/2017;11;5997.89
5/2/2017;12;6273.64
5/2/2017;13;6381.37
5/2/2017;14;6231.77
5/2/2017;15;5775.69
5/2/2017;16;5801.19
5/2/2017;17;5742.12
5/2/2017;18;5804.58
5/2/2017;19;6507.11
5/2/2017;20;6917.68
5/2/2017;21;6825.01
5/2/2017;22;6559.27
5/2/2017;23;6109.28
5/2/2017;24;5719.19
6/2/2017;1;5064.28
6/2/2017;2;4608.87
6/2/2017;3;4626.75
6/2/2017;4;4519.9
6/2/2017;5;4425.42
6/2/2017;6;4507.75
6/2/2017;7;4932.94
6/2/2017;8;5788.99
6/2/2017;9;6278.63
6/2/2017;10;6737.53
6/2/2017;11;6836.63
6/2/2017;12;6816.6
6/2/2017;13;6834.72
6/2/2017;14;6827.99
6/2/2017;15;6587.32
6/2/2017;16;6640.04
6/2/2017;17;6508.81
6/2/2017;18;6496.2
6/2/2017;19;7113.21
6/2/2017;20;7480.23
6/2/2017;21;7442.41
6/2/2017;22;6993.08
6/2/2017;23;6363.58
6/2/2017;24;5868.31
7/2/2017;1;5264.15
7/2/2017;2;4801.89
7/2/2017;3;4698.58
7/2/2017;4;4572.83
7/2/2017;5;4499.69
7/2/2017;6;4548.99
7/2/2017;7;5100.18
7/2/2017;8;5905.38
7/2/2017;9;6291.58
7/2/2017;10;6578.34
7/2/2017;11;6707.01
7/2/2017;12;6828.05
7/2/2017;13;6841.22
7/2/2017;14;6798.24
7/2/2017;15;6562.38
7/2/2017;16;6621.05
7/2/2017;17;6566.5
7/2/2017;18;6590.85
7/2/2017;19;7271.88
7/2/2017;20;7535.52
7/2/2017;21;7484.92
7/2/2017;22;7015.56
7/2/2017;23;6364.67
7/2/2017;24;5870.27
8/2/2017;1;5372.69
8/2/2017;2;4928.93
8/2/2017;3;4887.55
8/2/2017;4;4641.64
8/2/2017;5;4546
8/2/2017;6;4715.94
8/2/2017;7;5216.39
8/2/2017;8;6046.02
8/2/2017;9;6540.36
8/2/2017;10;6945.5
8/2/2017;11;6909.17
8/2/2017;12;6802.27
8/2/2017;13;6749.68
8/2/2017;14;6728.16
8/2/2017;15;6529.18
8/2/2017;16;6639.59
8/2/2017;17;6600.39
8/2/2017;18;6680.73
